== Sampling period: 500 us
== Test mode: periodic user-mode task
== All results in microseconds
warming up...
RTT|  00:00:01  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      2.582|      3.989|      4.709|       0|     0|      1.730|     64.990
RTD|      2.585|      3.639|      4.737|       0|     0|      1.730|     64.990
RTD|      1.766|     10.610|     50.403|       0|     0|      1.730|     64.990
RTT|  00:01:25  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      1.748|     19.141|     48.504|       0|     0|      1.730|     64.990
RTD|      1.749|     18.688|     57.462|       0|     0|      1.730|     64.990
RTD|      1.748|     22.753|     59.105|       0|     0|      1.730|     64.990
RTD|      1.770|     16.211|     50.198|       0|     0|      1.730|     64.990
RTD|      1.757|     16.831|     54.123|       0|     0|      1.730|     64.990
RTD|      1.762|     20.679|     57.989|       0|     0|      1.730|     64.990
RTD|      1.754|     21.476|     58.643|       0|     0|      1.730|     64.990
RTD|      1.763|     20.761|     50.398|       0|     0|      1.730|     64.990
RTD|      1.776|     18.944|     48.781|       0|     0|      1.730|     64.990
RTD|      1.749|     16.673|     46.221|       0|     0|      1.730|     64.990
RTD|      1.760|     20.945|     48.402|       0|     0|      1.730|     64.990
RTD|      1.759|     16.353|     49.449|       0|     0|      1.730|     64.990
RTD|      1.748|     20.189|     50.450|       0|     0|      1.730|     64.990
RTD|      1.765|     19.681|     53.142|       0|     0|      1.730|     64.990
RTD|      1.767|     20.024|     51.448|       0|     0|      1.730|     64.990
RTD|      2.217|      7.470|     41.902|       0|     0|      1.730|     64.990
RTD|      2.316|      3.514|      4.572|       0|     0|      1.730|     64.990
RTD|      2.332|      3.575|      4.730|       0|     0|      1.730|     64.990
RTD|      2.549|      3.867|      4.795|       0|     0|      1.730|     64.990
RTD|      2.458|      3.905|      5.157|       0|     0|      1.730|     64.990
RTD|      2.530|      3.575|      4.894|       0|     0|      1.730|     64.990
RTT|  00:01:46  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      1.759|     13.704|     47.922|       0|     0|      1.730|     64.990
RTD|      1.732|     19.240|     48.125|       0|     0|      1.730|     64.990
RTD|      1.755|     18.390|     54.503|       0|     0|      1.730|     64.990
RTD|      1.761|     20.933|     47.888|       0|     0|      1.730|     64.990
RTD|      1.741|     20.865|     50.592|       0|     0|      1.730|     64.990
RTD|      1.776|     20.443|     49.620|       0|     0|      1.730|     64.990
RTD|      1.739|     19.354|     52.868|       0|     0|      1.730|     64.990
RTD|      1.753|     17.414|     56.353|       0|     0|      1.730|     64.990
RTD|      1.789|     20.248|     45.938|       0|     0|      1.730|     64.990
RTD|      1.790|     19.105|     50.367|       0|     0|      1.730|     64.990
RTD|      1.797|     21.978|     55.822|       0|     0|      1.730|     64.990
RTD|      1.760|     18.691|     51.608|       0|     0|      1.730|     64.990
RTD|      1.763|     19.664|     54.814|       0|     0|      1.730|     64.990
RTD|      1.791|     24.015|     50.797|       0|     0|      1.730|     64.990
RTD|      1.744|     18.754|     50.365|       0|     0|      1.730|     64.990
RTD|      1.750|     16.017|     49.711|       0|     0|      1.730|     64.990
RTD|      1.749|     20.489|     51.187|       0|     0|      1.730|     64.990
RTD|      1.780|     22.144|     56.742|       0|     0|      1.730|     64.990
RTD|      1.760|     24.542|     50.114|       0|     0|      1.730|     64.990
RTD|      1.747|     20.260|     51.345|       0|     0|      1.730|     64.990
RTD|      1.764|     18.978|     45.192|       0|     0|      1.730|     64.990
RTT|  00:02:07  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      1.769|     18.406|     52.864|       0|     0|      1.730|     64.990
RTD|      1.745|     16.124|     51.003|       0|     0|      1.730|     64.990
RTD|      1.762|     15.916|     56.191|       0|     0|      1.730|     64.990
RTD|      1.768|     21.384|     53.732|       0|     0|      1.730|     64.990
RTD|      1.771|     22.958|     53.265|       0|     0|      1.730|     64.990
RTD|      1.757|     20.885|     51.349|       0|     0|      1.730|     64.990
RTD|      2.217|     14.618|     49.736|       0|     0|      1.730|     64.990
RTD|      2.237|      3.728|      4.592|       0|     0|      1.730|     64.990
RTD|      2.219|      3.645|      4.796|       0|     0|      1.730|     64.990
RTD|      2.554|      3.895|      4.874|       0|     0|      1.730|     64.990
RTD|      2.535|      3.870|      4.934|       0|     0|      1.730|     64.990
RTD|      2.490|      3.728|      4.951|       0|     0|      1.730|     64.990
RTD|      1.798|      4.919|     41.688|       0|     0|      1.730|     64.990
RTD|      1.746|     22.963|     49.304|       0|     0|      1.730|     64.990
RTD|      1.768|     20.379|     48.067|       0|     0|      1.730|     64.990
RTD|      1.741|     21.220|     47.859|       0|     0|      1.730|     64.990
RTD|      1.768|     21.351|     53.086|       0|     0|      1.730|     64.990
RTD|      1.720|     18.675|     55.356|       0|     0|      1.720|     64.990
RTD|      1.745|     22.238|     50.385|       0|     0|      1.720|     64.990
RTD|      1.755|     18.530|     54.772|       0|     0|      1.720|     64.990
RTD|      1.744|     16.486|     52.907|       0|     0|      1.720|     64.990
RTT|  00:02:28  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      1.754|     13.940|     53.108|       0|     0|      1.720|     64.990
RTD|      1.711|     18.821|     52.420|       0|     0|      1.711|     64.990
RTD|      1.749|     18.259|     50.266|       0|     0|      1.711|     64.990
RTD|      1.759|     19.743|     48.826|       0|     0|      1.711|     64.990
RTD|      1.745|     19.759|     50.632|       0|     0|      1.711|     64.990
RTD|      1.753|     21.634|     54.655|       0|     0|      1.711|     64.990
RTD|      1.759|     18.222|     54.538|       0|     0|      1.711|     64.990
RTD|      1.762|     15.063|     48.968|       0|     0|      1.711|     64.990
RTD|      2.165|      3.750|      4.672|       0|     0|      1.711|     64.990
RTD|      2.168|      3.596|      5.464|       0|     0|      1.711|     64.990
RTD|      2.479|      3.896|      4.906|       0|     0|      1.711|     64.990
RTD|      2.603|      3.923|      4.852|       0|     0|      1.711|     64.990
RTD|      2.534|      3.790|      5.080|       0|     0|      1.711|     64.990
RTD|      2.273|      3.750|      6.922|       0|     0|      1.711|     64.990
RTD|      2.193|      3.695|      7.073|       0|     0|      1.711|     64.990
RTD|      2.255|      3.663|      4.532|       0|     0|      1.711|     64.990
RTD|      2.647|      3.637|      4.666|       0|     0|      1.711|     64.990
RTD|      2.284|      3.487|      5.196|       0|     0|      1.711|     64.990
RTD|      1.792|      6.525|     50.482|       0|     0|      1.711|     64.990
RTD|      1.797|     24.809|     45.806|       0|     0|      1.711|     64.990
RTD|      1.749|     20.001|     54.154|       0|     0|      1.711|     64.990
RTT|  00:02:49  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      1.738|     15.959|     53.383|       0|     0|      1.711|     64.990
RTD|      1.752|     16.922|     48.143|       0|     0|      1.711|     64.990
RTD|      1.753|     16.614|     50.178|       0|     0|      1.711|     64.990
RTD|      1.758|     17.315|     48.390|       0|     0|      1.711|     64.990
RTD|      1.769|     21.497|     54.060|       0|     0|      1.711|     64.990
RTD|      1.736|     23.177|     55.484|       0|     0|      1.711|     64.990
RTD|      1.757|     19.282|     51.231|       0|     0|      1.711|     64.990
RTD|      1.740|     21.065|     55.177|       0|     0|      1.711|     64.990
RTD|      1.754|     22.528|     54.917|       0|     0|      1.711|     64.990
RTD|      1.759|     17.431|     53.648|       0|     0|      1.711|     64.990
RTD|      1.744|     19.748|     53.049|       0|     0|      1.711|     64.990
RTD|      1.756|     19.703|     51.015|       0|     0|      1.711|     64.990
RTD|      1.774|     18.913|     53.101|       0|     0|      1.711|     64.990
RTD|      1.738|     19.133|     52.265|       0|     0|      1.711|     64.990
RTD|      1.764|     22.761|     53.288|       0|     0|      1.711|     64.990
RTD|      1.722|     18.792|     52.595|       0|     0|      1.711|     64.990
RTD|      1.764|     20.423|     51.065|       0|     0|      1.711|     64.990
RTD|      1.739|     17.637|     62.172|       0|     0|      1.711|     64.990
RTD|      1.732|     21.297|     50.182|       0|     0|      1.711|     64.990
RTD|      1.727|     18.351|     53.112|       0|     0|      1.711|     64.990
RTD|      1.752|     15.260|     56.598|       0|     0|      1.711|     64.990
RTT|  00:03:10  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      1.750|     17.871|     52.264|       0|     0|      1.711|     64.990
RTD|      1.738|     21.790|     54.455|       0|     0|      1.711|     64.990
RTD|      1.747|     17.566|     52.126|       0|     0|      1.711|     64.990
RTD|      1.738|     16.278|     52.984|       0|     0|      1.711|     64.990
RTD|      1.778|     19.029|     46.884|       0|     0|      1.711|     64.990
RTD|      1.746|     19.936|     51.340|       0|     0|      1.711|     64.990
RTD|      1.748|     20.952|     55.451|       0|     0|      1.711|     64.990
RTD|      2.269|      4.023|     40.567|       0|     0|      1.711|     64.990
RTD|      2.229|      3.552|      4.963|       0|     0|      1.711|     64.990
RTD|      2.253|      3.355|      4.833|       0|     0|      1.711|     64.990
RTD|      1.761|     15.744|     52.294|       0|     0|      1.711|     64.990
RTD|      1.777|     20.518|     51.030|       0|     0|      1.711|     64.990
RTD|      1.748|     17.973|     54.133|       0|     0|      1.711|     64.990
RTD|      1.757|     19.797|     52.793|       0|     0|      1.711|     64.990
RTD|      1.784|     16.984|     52.478|       0|     0|      1.711|     64.990
RTD|      1.758|     14.746|     51.972|       0|     0|      1.711|     64.990
RTD|      1.761|     20.555|     53.995|       0|     0|      1.711|     64.990
RTD|      1.761|     21.064|     49.382|       0|     0|      1.711|     64.990
RTD|      1.728|     21.775|     52.083|       0|     0|      1.711|     64.990
RTD|      1.727|     17.437|     51.113|       0|     0|      1.711|     64.990
RTD|      1.733|     18.364|     58.803|       0|     0|      1.711|     64.990
RTT|  00:03:31  (periodic user-mode task, 500 us period, priority 99)
RTH|----lat min|----lat avg|----lat max|-overrun|---msw|---lat best|--lat worst
RTD|      1.744|     18.018|     49.003|       0|     0|      1.711|     64.990
RTD|      1.751|     18.929|     59.103|       0|     0|      1.711|     64.990
