sample_idx,expected_ns,actual_ns,jitter_us,period_us,exec_us,overruns
8346,23727088428087,23727088498889,70.802,1026.355,0.316,0
8347,23727089428087,23727089499128,71.041,1000.239,0.304,0
8348,23727090428087,23727090498873,70.786,999.745,0.329,0
8349,23727091428087,23727091433415,5.328,934.542,0.367,0
8350,23727092428087,23727092503693,75.606,1070.278,0.325,0
8351,23727093428087,23727093498275,70.188,994.582,0.351,0
8352,23727094428087,23727094434482,6.395,936.207,0.331,0
8353,23727095428087,23727095467146,39.059,1032.664,0.359,0
8354,23727096428087,23727096499550,71.463,1032.404,0.319,0
8355,23727097428087,23727097498131,70.044,998.581,0.302,0
8356,23727098428087,23727098498140,70.053,1000.009,0.314,0
8357,23727099428087,23727099498021,69.934,999.881,0.318,0
8358,23727100428087,23727100498385,70.298,1000.364,0.316,0
8359,23727101428087,23727101498646,70.559,1000.261,0.313,0
8360,23727102428087,23727102497919,69.832,999.273,0.297,0
8361,23727103428087,23727103468249,40.162,970.330,0.321,0
8362,23727104428087,23727104465402,37.315,997.153,0.379,0
8363,23727105428087,23727105497351,69.264,1031.949,0.325,0
8364,23727106428087,23727106498980,70.893,1001.629,0.302,0
8365,23727107428087,23727107497506,69.419,998.526,0.310,0
8366,23727108428087,23727108499561,71.474,1002.055,0.300,0
8367,23727109428087,23727109498509,70.422,998.948,0.324,0
8368,23727110428087,23727110499307,71.220,1000.798,0.349,0
8369,23727111428087,23727111496794,68.707,997.487,0.349,0
8370,23727112428087,23727112497466,69.379,1000.672,0.353,0
8371,23727113428087,23727113469328,41.241,971.862,0.369,0
8372,23727114428087,23727114434404,6.317,965.076,0.336,0
8373,23727115428087,23727115460875,32.788,1026.471,0.347,0
8374,23727116428087,23727116498597,70.510,1037.722,0.341,0
8375,23727117428087,23727117499133,71.046,1000.536,0.333,0
8376,23727118428087,23727118500084,71.997,1000.951,0.312,0
8377,23727119428087,23727119499390,71.303,999.306,0.327,0
8378,23727120428087,23727120499105,71.018,999.715,0.347,0
8379,23727121428087,23727121498684,70.597,999.579,0.347,0
8380,23727122428087,23727122499257,71.170,1000.573,0.304,0
8381,23727123428087,23727123499292,71.205,1000.035,0.336,0
8382,23727124428087,23727124500677,72.590,1001.385,0.318,0
8383,23727125428087,23727125502313,74.226,1001.636,0.345,0
8384,23727126428087,23727126497755,69.668,995.442,0.319,0
8385,23727127428087,23727127496768,68.681,999.013,0.301,0
8386,23727128428087,23727128466298,38.211,969.530,0.315,0
8387,23727129428087,23727129498130,70.043,1031.832,0.327,0
8388,23727130428087,23727130498042,69.955,999.912,0.296,0
8389,23727131428087,23727131498618,70.531,1000.576,0.351,0
8390,23727132428087,23727132499585,71.498,1000.967,0.321,0
8391,23727133428087,23727133498720,70.633,999.135,0.317,0
8392,23727134428087,23727134504960,76.873,1006.240,0.334,0
8393,23727135428087,23727135498342,70.255,993.382,0.310,0
8394,23727136428087,23727136499529,71.442,1001.187,0.342,0
8395,23727137428087,23727137497707,69.620,998.178,0.318,0
8396,23727138428087,23727138498897,70.810,1001.190,0.317,0
8397,23727139428087,23727139498915,70.828,1000.018,0.331,0
8398,23727140428087,23727140501015,72.928,1002.100,0.297,0
8399,23727141428087,23727141433600,5.513,932.585,0.315,0
8400,23727142428087,23727142499153,71.066,1065.553,0.316,0
8401,23727143428087,23727143498959,70.872,999.806,0.319,0
8402,23727144428087,23727144434665,6.578,935.706,0.325,0
8403,23727145428087,23727145497372,69.285,1062.707,0.314,0
8404,23727146428087,23727146497374,69.287,1000.002,0.321,0
8405,23727147428087,23727147502571,74.484,1005.197,0.311,0
8406,23727148428087,23727148499251,71.164,996.680,0.315,0
8407,23727149428087,23727149498820,70.733,999.569,0.315,0
8408,23727150428087,23727150498419,70.332,999.599,0.319,0
8409,23727151428087,23727151498386,70.299,999.967,0.319,0
8410,23727152428087,23727152499524,71.437,1001.138,0.309,0
8411,23727153428087,23727153498121,70.034,998.597,0.311,0
8412,23727154428087,23727154434488,6.401,936.367,0.323,0
8413,23727155428087,23727155498973,70.886,1064.485,0.313,0
8414,23727156428087,23727156499466,71.379,1000.493,0.317,0
8415,23727157428087,23727157499707,71.620,1000.241,0.303,0
8416,23727158428087,23727158497688,69.601,997.981,0.318,0
8417,23727159428087,23727159499238,71.151,1001.550,0.357,0
8418,23727160428087,23727160504259,76.172,1005.021,0.304,0
8419,23727161428087,23727161498084,69.997,993.825,0.309,0
8420,23727162428087,23727162498267,70.180,1000.183,0.309,0
8421,23727163428087,23727163498433,70.346,1000.166,0.316,0
8422,23727164428087,23727164434574,6.487,936.141,0.319,0
8423,23727165428087,23727165498555,70.468,1063.981,0.353,0
8424,23727166428087,23727166498861,70.774,1000.306,0.330,0
8425,23727167428087,23727167498438,70.351,999.577,0.310,0
8426,23727168428087,23727168504735,76.648,1006.297,0.301,0
8427,23727169428087,23727169500004,71.917,995.269,0.307,0
8428,23727170428087,23727170498205,70.118,998.201,0.309,0
8429,23727171428087,23727171498360,70.273,1000.155,0.316,0
8430,23727172428087,23727172498149,70.062,999.789,0.316,0
8431,23727173428087,23727173499646,71.559,1001.497,0.347,0
8432,23727174428087,23727174501616,73.529,1001.970,0.312,0
8433,23727175428087,23727175501975,73.888,1000.359,0.314,0
8434,23727176428087,23727176499490,71.403,997.515,0.329,0
8435,23727177428087,23727177498618,70.531,999.128,0.348,0
8436,23727178428087,23727178498167,70.080,999.549,0.321,0
8437,23727179428087,23727179497741,69.654,999.574,0.350,0
8438,23727180428087,23727180499177,71.090,1001.436,0.324,0
8439,23727181428087,23727181503375,75.288,1004.198,0.349,0
8440,23727182428087,23727182499615,71.528,996.240,0.323,0
8441,23727183428087,23727183499814,71.727,1000.199,0.354,0
8442,23727184428087,23727184434603,6.516,934.789,0.334,0
8443,23727185428087,23727185499026,70.939,1064.423,0.331,0
8444,23727186428087,23727186498626,70.539,999.600,0.349,0
8445,23727187428087,23727187498282,70.195,999.656,0.331,0
8446,23727188428087,23727188431762,3.675,933.480,0.199,0
8447,23727189428087,23727189501565,73.478,1069.803,0.305,0
8448,23727190428087,23727190501923,73.836,1000.358,0.317,0
8449,23727191428087,23727191487232,59.145,985.309,0.328,0
8450,23727192428087,23727192497110,69.023,1009.878,0.357,0
8451,23727193428087,23727193496605,68.518,999.495,0.310,0
8452,23727194428087,23727194434415,6.328,937.810,0.358,0
8453,23727195428087,23727195499577,71.490,1065.162,0.304,0
8454,23727196428087,23727196498699,70.612,999.122,0.327,0
8455,23727197428087,23727197497145,69.058,998.446,0.334,0
8456,23727198428087,23727198499292,71.205,1002.147,0.313,0
8457,23727199428087,23727199498674,70.587,999.382,0.310,0
8458,23727200428087,23727200502979,74.892,1004.305,0.311,0
8459,23727201428087,23727201497755,69.668,994.776,0.350,0
8460,23727202428087,23727202498183,70.096,1000.428,0.319,0
8461,23727203428087,23727203497925,69.838,999.742,0.304,0
8462,23727204428087,23727204434429,6.342,936.504,0.339,0
8463,23727205428087,23727205502185,74.098,1067.756,0.315,0
8464,23727206428087,23727206502579,74.492,1000.394,0.295,0
8465,23727207428087,23727207498312,70.225,995.733,0.312,0
8466,23727208428087,23727208496851,68.764,998.539,0.342,0
8467,23727209428087,23727209496678,68.591,999.827,0.326,0
8468,23727210428087,23727210497204,69.117,1000.526,0.323,0
8469,23727211428087,23727211497368,69.281,1000.164,0.307,0
8470,23727212428087,23727212498568,70.481,1001.200,0.309,0
8471,23727213428087,23727213498700,70.613,1000.132,0.311,0
8472,23727214428087,23727214434876,6.789,936.176,0.343,0
8473,23727215428087,23727215498828,70.741,1063.952,0.304,0
8474,23727216428087,23727216497503,69.416,998.675,0.326,0
8475,23727217428087,23727217503241,75.154,1005.738,0.316,0
8476,23727218428087,23727218497379,69.292,994.138,0.349,0
8477,23727219428087,23727219500887,72.800,1003.508,0.313,0
8478,23727220428087,23727220498818,70.731,997.931,0.335,0
8479,23727221428087,23727221498722,70.635,999.904,0.300,0
8480,23727222428087,23727222497341,69.254,998.619,0.320,0
8481,23727223428087,23727223497919,69.832,1000.578,0.323,0
8482,23727224428087,23727224434505,6.418,936.586,0.343,0
8483,23727225428087,23727225497673,69.586,1063.168,0.325,0
8484,23727226428087,23727226497622,69.535,999.949,0.342,0
8485,23727227428087,23727227498225,70.138,1000.603,0.308,0
8486,23727228428087,23727228497850,69.763,999.625,0.318,0
8487,23727229428087,23727229497882,69.795,1000.032,0.314,0
8488,23727230428087,23727230497985,69.898,1000.103,0.332,0
8489,23727231428087,23727231498829,70.742,1000.844,0.348,0
8490,23727232428087,23727232496352,68.265,997.523,0.336,0
8491,23727233428087,23727233498237,70.150,1001.885,0.331,0
8492,23727234428087,23727234434566,6.479,936.329,0.347,0
8493,23727235428087,23727235497297,69.210,1062.731,0.321,0
8494,23727236428087,23727236490839,62.752,993.542,0.315,0
8495,23727237428087,23727237498144,70.057,1007.305,0.308,0
8496,23727238428087,23727238499181,71.094,1001.037,0.325,0
8497,23727239428087,23727239500976,72.889,1001.795,0.337,0
8498,23727240428087,23727240461283,33.196,960.307,0.309,0
8499,23727241428087,23727241498090,70.003,1036.807,0.332,0
8500,23727242428087,23727242497571,69.484,999.481,0.316,0
8501,23727243428087,23727243498593,70.506,1001.022,0.323,0
8502,23727244428087,23727244435127,7.040,936.534,0.331,0
8503,23727245428087,23727245501436,73.349,1066.309,0.359,0
8504,23727246428087,23727246498540,70.453,997.104,0.352,0
8505,23727247428087,23727247498103,70.016,999.563,0.330,0
8506,23727248428087,23727248497505,69.418,999.402,0.326,0
8507,23727249428087,23727249497676,69.589,1000.171,0.315,0
8508,23727250428087,23727250497663,69.576,999.987,0.346,0
8509,23727251428087,23727251509374,81.287,1011.711,0.306,0
8510,23727252428087,23727252497716,69.629,988.342,0.312,0
8511,23727253428087,23727253505843,77.756,1008.127,0.350,0
8512,23727254428087,23727254434418,6.331,928.575,0.355,0
8513,23727255428087,23727255501106,73.019,1066.688,0.309,0
8514,23727256428087,23727256497737,69.650,996.631,0.318,0
8515,23727257428087,23727257496992,68.905,999.255,0.336,0
8516,23727258428087,23727258496604,68.517,999.612,0.313,0
8517,23727259428087,23727259497725,69.638,1001.121,0.328,0
8518,23727260428087,23727260498150,70.063,1000.425,0.306,0
8519,23727261428087,23727261501113,73.026,1002.963,0.303,0
8520,23727262428087,23727262498571,70.484,997.458,0.328,0
8521,23727263428087,23727263502795,74.708,1004.224,0.348,0
8522,23727264428087,23727264434420,6.333,931.625,0.333,0
8523,23727265428087,23727265498438,70.351,1064.018,0.326,0
8524,23727266428087,23727266501361,73.274,1002.923,0.330,0
8525,23727267428087,23727267497300,69.213,995.939,0.343,0
8526,23727268428087,23727268497622,69.535,1000.322,0.310,0
8527,23727269428087,23727269500576,72.489,1002.954,0.310,0
8528,23727270428087,23727270499199,71.112,998.623,0.309,0
8529,23727271428087,23727271497769,69.682,998.570,0.334,0
8530,23727272428087,23727272496664,68.577,998.895,0.325,0
8531,23727273428087,23727273498049,69.962,1001.385,0.301,0
8532,23727274428087,23727274434589,6.502,936.540,0.348,0
8533,23727275428087,23727275497251,69.164,1062.662,0.306,0
8534,23727276428087,23727276498045,69.958,1000.794,0.297,0
8535,23727277428087,23727277496967,68.880,998.922,0.331,0
8536,23727278428087,23727278501896,73.809,1004.929,0.302,0
8537,23727279428087,23727279497867,69.780,995.971,0.328,0
8538,23727280428087,23727280497757,69.670,999.890,0.344,0
8539,23727281428087,23727281435476,7.389,937.719,0.331,0
8540,23727282428087,23727282496506,68.419,1061.030,0.308,0
8541,23727283428087,23727283497723,69.636,1001.217,0.311,0
8542,23727284428087,23727284434646,6.559,936.923,0.351,0
8543,23727285428087,23727285496704,68.617,1062.058,0.314,0
8544,23727286428087,23727286497433,69.346,1000.729,0.330,0
8545,23727287428087,23727287496970,68.883,999.537,0.308,0
8546,23727288428087,23727288498285,70.198,1001.315,0.318,0
8547,23727289428087,23727289496933,68.846,998.648,0.317,0
8548,23727290428087,23727290497731,69.644,1000.798,0.313,0
8549,23727291428087,23727291497785,69.698,1000.054,0.333,0
8550,23727292428087,23727292496696,68.609,998.911,0.357,0
8551,23727293428087,23727293496801,68.714,1000.105,0.340,0
8552,23727294428087,23727294434545,6.458,937.744,0.346,0
8553,23727295428087,23727295497543,69.456,1062.998,0.320,0
8554,23727296428087,23727296495317,67.230,997.774,0.310,0
8555,23727297428087,23727297497910,69.823,1002.593,0.332,0
8556,23727298428087,23727298497536,69.449,999.626,0.316,0
8557,23727299428087,23727299498736,70.649,1001.200,0.302,0
8558,23727300428087,23727300497650,69.563,998.914,0.346,0
8559,23727301428087,23727301497970,69.883,1000.320,0.325,0
8560,23727302428087,23727302498348,70.261,1000.378,0.344,0
8561,23727303428087,23727303500226,72.139,1001.878,0.313,0
8562,23727304428087,23727304434531,6.444,934.305,0.301,0
8563,23727305428087,23727305511225,83.138,1076.694,0.325,0
8564,23727306428087,23727306501000,72.913,989.775,0.325,0
